weightclass,time_format,title,r_kd,r_sub.att,r_rev.,r_ctrl_s,r_sig_str_percent,r_sig_str_att,r_total_str_percent,r_total_str_att,r_td_percent,r_td_att,r_head_percent,r_head_att,r_body_percent,r_body_att,r_leg_percent,r_leg_att,r_distance_percent,r_distance_att,r_clinch_percent,r_clinch_att,r_ground_percent,r_ground_att,r_avg_time_s,r_wins,r_losses,r_draws,r_win_streak,r_loss_streak,r_longest_win_streak,r_percent_title_bouts,r_percent_win_by_ko/tko,r_percent_win_by_sub,r_percent_win_by_dec,r_percent_win_by_doctor_stoppage,r_percent_loss_by_ko/tko,r_percent_loss_by_sub,r_percent_loss_by_dec,r_percent_loss_by_doctor_stoppage,b_kd,b_sub.att,b_rev.,b_ctrl_s,b_sig_str_percent,b_sig_str_att,b_total_str_percent,b_total_str_att,b_td_percent,b_td_att,b_head_percent,b_head_att,b_body_percent,b_body_att,b_leg_percent,b_leg_att,b_distance_percent,b_distance_att,b_clinch_percent,b_clinch_att,b_ground_percent,b_ground_att,b_avg_time_s,b_wins,b_losses,b_draws,b_win_streak,b_loss_streak,b_longest_win_streak,b_percent_title_bouts,b_percent_win_by_ko/tko,b_percent_win_by_sub,b_percent_win_by_dec,b_percent_win_by_doctor_stoppage,b_percent_loss_by_ko/tko,b_percent_loss_by_sub,b_percent_loss_by_dec,b_percent_loss_by_doctor_stoppage,date,r_height,r_reach,r_stance,r_dob,b_height,b_reach,b_stance,b_dob
Lightweight,5 Rnd (5-5-5-5-5,True,0.2142857142857142,0.7142857142857143,0.2142857142857142,300.7142857142857,0.5922671353251318,40.642857142857146,0.7194371152154794,81.21428571428571,0.62,3.571428571428572,0.5121951219512195,32.214285714285715,0.900990099009901,7.214285714285714,0.8823529411764707,1.2142857142857142,0.4847645429362881,25.785714285714285,0.858974358974359,5.571428571428571,0.7307692307692307,9.285714285714286,614.5,13.0,1.0,0.0,13.0,1.0,13.0,0.1428571428571428,0.1538461538461538,0.4615384615384615,0.3846153846153846,0.0,1.0,0.0,0.0,0.0,0.4615384615384615,0.2307692307692307,0.2307692307692307,220.15384615384616,0.5657120439387996,196.07692307692307,0.5911837895485247,216.3846153846154,0.3432835820895522,5.153846153846154,0.4899620184481823,141.76923076923077,0.6909871244635193,17.923076923076923,0.7991543340380549,36.38461538461539,0.5347461803844259,156.07692307692307,0.7351351351351352,14.23076923076923,0.6597014925373134,25.76923076923077,1047.8461538461538,12,1,0,12,1,12,0.4615384615384615,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,16942176.0,70.0,70.0,Southpaw,6885216.0,66.0,71.0,Orthodox,5914944.0
Middleweight,3 Rnd (5-5-5),False,0.5882352941176471,0.1176470588235294,0.0,472.88235294117646,0.5223179326546593,150.23529411764707,0.6430510314875135,216.7058823529412,0.4573643410852713,7.588235294117647,0.4307058217413704,114.17647058823528,0.7975460122699386,28.764705882352946,0.8709677419354839,7.294117647058823,0.4156560088202866,106.70588235294116,0.8159722222222222,16.941176470588236,0.7632743362831858,26.58823529411765,1055.1176470588234,15.0,2.0,0.0,15.0,2.0,15.0,0.4705882352941176,0.2666666666666666,0.0666666666666666,0.6666666666666666,0.0,0.5,0.0,0.5,0.0,0.3333333333333333,1.1666666666666667,0.0,162.5,0.5962059620596205,61.5,0.6928702010968921,91.16666666666669,0.5714285714285714,2.333333333333333,0.5765765765765766,55.5,0.6666666666666666,4.0,1.0,2.0,0.4619289340101522,32.833333333333336,0.8461538461538461,2.1666666666666665,0.7421383647798743,26.5,301.1666666666667,6,0,0,6,0,6,0.0,0.3333333333333333,0.5,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,16942176.0,72.0,76.0,Switch,5476896.0,74.0,75.0,Orthodox,7677504.0
Light Heavyweight,3 Rnd (5-5-5),False,0.5454545454545454,0.0,0.1818181818181818,236.0,0.5226293103448276,84.36363636363636,0.6291187739463602,118.63636363636364,0.2903225806451613,2.8181818181818183,0.4463519313304721,63.54545454545455,0.7183908045977011,15.818181818181818,0.8727272727272727,5.0,0.452074391988555,63.54545454545455,0.7868852459016392,5.545454545454546,0.7202380952380952,15.272727272727272,745.7272727272727,9.0,1.0,0.0,9.0,1.0,9.0,0.1,0.5555555555555556,0.0,0.4444444444444444,0.0,0.0,1.0,0.0,0.0,0.3636363636363636,0.2727272727272727,0.2727272727272727,36.72727272727273,0.5333333333333334,43.63636363636363,0.5823223570190642,52.45454545454545,1.0,0.1818181818181818,0.4356435643564356,27.545454545454547,0.5098039215686274,4.636363636363637,0.7777777777777777,11.454545454545457,0.4572192513368984,34.0,0.8620689655172415,2.636363636363636,0.7792207792207791,7.0,395.09090909090907,7,4,0,7,4,7,0.0,0.7142857142857143,0.1428571428571428,0.1428571428571428,0.0,0.5,0.0,0.5,0.0,16942176.0,75.0,75.0,Orthodox,7074432.0,78.0,82.0,Orthodox,7019136.0
Middleweight,3 Rnd (5-5-5),False,1.0,0.0,0.0,0.0,0.6060606060606061,33.0,0.6060606060606061,33.0,0.0,0.0,0.5416666666666666,24.0,0.75,8.0,1.0,1.0,0.6129032258064516,31.0,0.5,2.0,0.0,0.0,130.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2142857142857142,0.6428571428571429,0.0714285714285714,147.78571428571428,0.4785340314136126,68.21428571428571,0.5253456221198157,77.5,0.5,1.8571428571428568,0.3777452415812591,48.785714285714285,0.6973684210526315,10.857142857142858,0.775,8.571428571428571,0.4344059405940594,57.71428571428572,0.7395833333333334,6.857142857142857,0.6862745098039216,3.642857142857143,609.2857142857143,8,6,0,8,6,8,0.0,0.25,0.375,0.25,0.125,0.3333333333333333,0.1666666666666666,0.5,0.0,16942176.0,72.0,76.0,Southpaw,7236864.0,71.0,72.0,Orthodox,6629472.0
Bantamweight,3 Rnd (5-5-5),False,0.125,0.75,0.0,56.75,0.4786641929499072,67.375,0.5666199158485273,89.125,0.1666666666666666,3.75,0.3598971722365038,48.625,0.7023809523809523,10.5,0.8939393939393939,8.25,0.42,56.25,0.7719298245614035,7.125,0.78125,4.0,547.0,6.0,2.0,0.0,6.0,2.0,6.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,0.3885350318471338,157.0,0.4558823529411764,204.0,0.0,6.0,0.3333333333333333,135.0,0.6875,16.0,0.8333333333333334,6.0,0.3560606060606061,132.0,0.56,25.0,0.0,0.0,900.0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16942176.0,68.0,70.0,Orthodox,7024320.0,67.0,68.0,Southpaw,8322912.0
Flyweight,3 Rnd (5-5-5),False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1.0,0.0,457.0,0.5425531914893617,23.5,0.7918088737201365,73.25,0.5365853658536586,10.25,0.4035087719298245,14.25,0.7407407407407407,6.75,0.8,2.5,0.4520547945205479,18.25,0.5,0.5,0.8947368421052632,4.75,674.0,4,0,0,4,0,4,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,16942176.0,,,,,67.0,70.0,Orthodox,9649152.0
Lightweight,3 Rnd (5-5-5),False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.5,49.5,0.4834123222748815,105.5,0.5132743362831859,113.0,0.0,0.5,0.391304347826087,80.5,0.7380952380952381,21.0,1.0,4.0,0.436046511627907,86.0,0.65625,16.0,0.8571428571428571,3.5,599.5,1,1,0,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16942176.0,,,,,69.0,70.0,Switch,7896096.0
Bantamweight,3 Rnd (5-5-5),False,0.0,0.0,0.0,170.66666666666666,0.5959367945823928,147.66666666666666,0.6336633663366337,168.33333333333334,0.5555555555555556,3.0,0.5046153846153846,108.33333333333331,0.8139534883720929,28.666666666666668,0.9375,10.666666666666666,0.5502645502645502,126.0,0.7647058823529411,11.333333333333334,0.9677419354838708,10.333333333333334,900.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,60.0,0.5401662049861496,240.66666666666663,0.5825123152709358,270.6666666666667,0.0,0.6666666666666666,0.4230019493177387,171.0,0.8343195266272189,56.333333333333336,0.7999999999999999,13.333333333333334,0.5031847133757962,209.33333333333331,0.7727272727272728,29.33333333333333,1.0,2.0,900.0,2,1,0,2,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16942176.0,69.0,69.0,Orthodox,8104320.0,67.0,68.0,Switch,5470848.0
Middleweight,3 Rnd (5-5-5),False,0.0,0.0,0.5,160.5,0.4495677233429395,173.5,0.5687885010266941,243.5,0.25,2.0,0.3157894736842105,123.5,0.7375,40.0,0.95,10.0,0.3862068965517241,145.0,0.7560975609756098,20.5,0.8125,8.0,898.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,337.5,0.5606060606060606,33.0,0.6993006993006993,71.5,0.0,0.5,0.4883720930232558,21.5,0.5,4.0,0.8,7.5,0.4489795918367347,24.5,1.0,1.0,0.8666666666666667,7.5,690.0,1,1,0,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16942176.0,69.0,76.0,Orthodox,5107968.0,74.0,79.0,Orthodox,8076672.0
Lightweight,3 Rnd (5-5-5),False,0.0,0.0,0.0,58.0,0.4888888888888889,112.5,0.5127118644067796,118.0,0.75,2.0,0.3976608187134502,85.5,0.7647058823529411,25.5,1.0,1.5,0.4723618090452261,99.5,0.6086956521739131,11.5,0.6666666666666666,1.5,490.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,427.0,0.7450980392156863,51.0,0.7474747474747475,99.0,0.4,5.0,0.7659574468085106,47.0,0.3333333333333333,3.0,1.0,1.0,0.4285714285714285,14.0,0.0,0.0,0.8648648648648649,37.0,524.0,1,0,0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16942176.0,70.0,70.0,Orthodox,6091200.0,72.0,69.0,Switch,7899552.0
Featherweight,3 Rnd (5-5-5),False,0.125,0.5,0.125,135.0,0.4835249042145594,163.125,0.5393778954334878,188.875,0.5454545454545454,2.75,0.3766519823788546,113.5,0.5555555555555556,15.75,0.8081180811808119,33.875,0.4606365159128978,149.25,0.7288135593220338,7.375,0.7307692307692307,6.5,746.5,6.0,2.0,0.0,6.0,2.0,6.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.4,70.0,0.4166666666666667,72.0,0.0,1.0,0.3035714285714285,56.0,0.625,8.0,1.0,6.0,0.3333333333333333,60.0,0.6,5.0,1.0,5.0,479.0,1,0,0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16942176.0,66.0,69.0,Orthodox,7368192.0,69.0,70.0,Orthodox,7762176.0
Women's Strawweight,3 Rnd (5-5-5),False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.2857142857142857,0.0,142.28571428571428,0.4269293924466338,87.0,0.4671328671328671,102.14285714285714,0.375,2.2857142857142856,0.3281596452328159,64.42857142857143,0.5466666666666666,10.714285714285714,0.8554216867469878,11.857142857142858,0.3963963963963963,79.28571428571429,0.8048780487804879,5.857142857142857,0.5384615384615384,1.8571428571428568,756.1428571428571,2,5,0,2,5,2,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,0.0,16942176.0,65.0,67.0,Orthodox,9173088.0,63.0,65.0,Southpaw,4853952.0
